user_id,feature,usage_count,avg_time_spent_minutes,satisfaction_score
user_1,task_management,65,111.35,4.51
user_2,collaboration,62,59.78,3.81
user_3,dashboard,77,80.38,1.37
user_4,dashboard,49,94.26,1.64
user_5,task_management,96,115.14,4.05
user_6,settings,66,48.1,1.16
user_7,reports,48,84.07,1.1
user_8,reports,91,82.63,2.25
user_9,collaboration,73,53.48,2.09
user_10,dashboard,86,118.52,4.03
user_11,dashboard,58,95.55,3.8
user_12,reports,48,65.12,2.44
user_13,analytics,66,28.34,4.17
user_14,analytics,80,113.44,3.07
user_15,notifications,67,29.02,3.92
user_16,collaboration,69,54.89,1.81
user_17,task_management,57,105.25,3.18
user_18,task_management,95,99.4,3.18
user_19,settings,68,16.13,3.66
user_20,collaboration,96,60.57,1.71
user_21,collaboration,100,10.74,4.65
user_22,reports,30,38.62,4.47
user_23,collaboration,6,63.39,1.88
user_24,reports,91,99.05,1.66
user_25,reports,35,23.94,2.88
user_26,settings,62,81.8,3.0
user_27,analytics,18,19.57,2.86
user_28,reports,86,63.18,1.65
user_29,notifications,86,79.71,1.71
user_30,analytics,65,63.99,1.32
user_31,reports,33,50.58,4.83
user_32,task_management,26,73.33,2.54
user_33,task_management,74,118.59,3.23
user_34,settings,56,75.83,3.49
user_35,settings,21,13.53,4.17
user_36,task_management,44,73.74,2.6
user_37,analytics,9,87.26,2.23
user_38,reports,50,23.47,4.76
user_39,analytics,22,68.69,2.56
user_40,reports,60,108.35,4.34
user_41,collaboration,31,105.57,3.69
user_42,collaboration,10,39.41,1.11
user_43,reports,67,92.72,3.8
user_44,task_management,47,111.79,4.21
user_45,collaboration,4,119.23,4.5
user_46,dashboard,5,108.46,4.2
user_47,notifications,97,58.33,4.92
user_48,notifications,88,74.21,4.86
user_49,collaboration,74,89.26,3.31
user_50,task_management,35,16.43,4.36
user_51,analytics,91,114.83,1.61
user_52,task_management,48,26.14,3.85
user_53,notifications,73,14.74,3.49
user_54,settings,81,78.48,2.3
user_55,task_management,56,90.59,4.76
user_56,dashboard,93,41.92,4.67
user_57,collaboration,82,111.23,2.92
user_58,settings,2,71.41,2.35
user_59,reports,46,100.76,3.64
user_60,task_management,53,20.73,3.5
user_61,settings,61,26.97,4.32
user_62,analytics,100,12.17,3.47
user_63,analytics,61,100.69,4.98
user_64,analytics,74,32.59,1.37
user_65,settings,90,57.38,2.8
user_66,analytics,76,30.17,3.6
user_67,reports,2,103.17,1.23
user_68,notifications,22,26.57,4.54
user_69,settings,86,74.32,1.11
user_70,dashboard,3,69.38,3.99
user_71,settings,4,41.56,4.86
user_72,dashboard,74,58.27,4.93
user_73,analytics,91,72.34,3.56
user_74,reports,6,115.45,1.76
user_75,collaboration,68,117.65,1.69
user_76,collaboration,30,50.27,4.66
user_77,task_management,9,33.21,2.62
user_78,notifications,60,33.17,2.24
user_79,settings,93,82.65,4.55
user_80,settings,34,102.36,1.23
user_81,settings,51,44.1,4.91
user_82,notifications,63,53.5,2.1
user_83,dashboard,89,43.9,1.59
user_84,settings,48,59.55,1.56
user_85,collaboration,97,16.78,1.16
user_86,analytics,23,68.81,3.2
user_87,notifications,82,38.97,1.56
user_88,task_management,93,98.08,1.12
user_89,settings,49,84.8,1.9
user_90,settings,99,93.2,2.21
user_91,analytics,39,42.13,1.81
user_92,dashboard,15,23.66,3.69
user_93,collaboration,28,79.15,2.47
user_94,task_management,34,47.6,2.81
user_95,analytics,48,58.96,2.93
user_96,analytics,48,37.99,1.86
user_97,dashboard,11,54.17,3.4
user_98,settings,44,63.63,2.66
user_99,task_management,67,22.03,3.02
user_100,dashboard,98,70.16,3.69
user_101,task_management,20,26.52,1.13
user_102,task_management,50,99.31,4.28
user_103,task_management,38,35.58,3.32
user_104,reports,43,31.07,4.18
user_105,dashboard,54,14.76,1.99
user_106,notifications,63,103.75,1.96
user_107,notifications,36,62.7,4.55
user_108,collaboration,55,76.55,3.25
user_109,analytics,43,110.42,4.68
user_110,reports,15,85.93,1.16
user_111,collaboration,50,12.68,2.23
user_112,reports,93,112.9,3.02
user_113,settings,33,38.63,4.89
user_114,reports,32,116.51,2.66
user_115,dashboard,83,116.08,1.36
user_116,settings,43,90.19,2.07
user_117,notifications,19,81.99,2.46
user_118,task_management,72,76.91,3.06
user_119,notifications,51,107.67,4.34
user_120,collaboration,33,39.73,4.59
user_121,settings,71,19.61,2.81
user_122,collaboration,67,60.71,4.98
user_123,reports,40,56.66,3.26
user_124,dashboard,20,81.89,3.06
user_125,analytics,79,60.11,2.78
user_126,analytics,1,36.35,1.32
user_127,collaboration,14,52.57,3.96
user_128,collaboration,98,114.54,2.03
user_129,dashboard,75,38.48,1.5
user_130,reports,49,17.38,1.97
user_131,notifications,16,101.81,4.88
user_132,notifications,7,20.46,4.68
user_133,notifications,40,69.33,1.03
user_134,collaboration,9,110.06,4.86
user_135,notifications,43,33.29,3.31
user_136,analytics,19,80.13,3.08
user_137,settings,47,69.22,4.89
user_138,settings,12,92.77,2.35
user_139,collaboration,99,112.57,4.56
user_140,reports,97,77.65,1.7
user_141,notifications,23,86.8,4.36
user_142,task_management,33,83.16,2.92
user_143,dashboard,18,94.94,3.68
user_144,notifications,34,76.76,2.11
user_145,task_management,76,51.24,4.31
user_146,analytics,31,92.17,2.49
user_147,reports,85,85.6,2.72
user_148,settings,14,105.45,2.08
user_149,dashboard,42,15.94,4.35
user_150,task_management,48,63.68,2.63
user_151,collaboration,36,10.32,3.66
