user_id,signup_date,last_active_date,is_churned,days_active,retention_rate
101,2023-01-29,2023-04-19,1,80,0.11
102,2023-01-01,2023-09-08,0,336,0.37
103,2023-01-29,2023-03-12,1,42,0.17
104,2023-01-29,2023-07-20,1,172,0.19
user_101,2023-01-21,2023-09-23,0,346,0.57
user_102,2023-01-01,2023-02-09,1,39,0.08
user_103,2023-01-27,2023-09-27,1,243,0.05
user_104,2023-01-12,2023-09-27,0,212,0.42
user_105,2023-01-12,2023-12-28,0,361,0.21
user_106,2023-01-30,2023-10-07,0,286,0.59
user_107,2023-01-28,2023-11-18,0,201,0.26
user_108,2023-01-21,2024-01-02,0,215,0.58
user_109,2023-01-09,2023-03-01,1,51,0.17
user_110,2023-01-13,2023-09-28,1,258,0.18
user_111,2023-01-24,2024-01-09,0,322,0.27
user_112,2023-01-15,2023-08-20,0,204,0.72
user_113,2023-01-28,2023-06-19,0,273,0.54
user_114,2023-01-10,2023-08-10,1,212,0.12
user_115,2023-01-22,2023-11-13,1,295,0.05
user_116,2023-01-08,2023-08-15,1,219,0.23
user_117,2023-01-06,2023-10-05,1,272,0.19
user_118,2023-01-06,2023-07-24,0,252,0.29
user_119,2023-01-12,2023-05-22,0,319,0.53
user_120,2023-01-14,2023-07-05,0,318,0.55
user_121,2023-01-01,2023-11-16,0,354,0.71
user_122,2023-01-01,2023-11-06,1,309,0.06
user_123,2023-01-05,2023-12-13,1,342,0.15
user_124,2023-01-28,2023-04-15,0,243,0.62
user_125,2023-01-13,2023-06-22,0,240,0.38
user_126,2023-01-17,2023-08-11,0,282,0.76
user_127,2023-01-01,2023-09-26,0,358,0.46
user_128,2023-01-12,2023-06-08,0,351,0.8
user_129,2023-01-23,2023-07-18,0,336,0.41
user_130,2023-01-24,2023-07-26,0,228,0.74
user_131,2023-01-06,2023-10-17,0,326,0.66
user_132,2023-01-14,2023-04-14,0,259,0.9
user_133,2023-01-08,2023-09-20,1,255,0.28
user_134,2023-01-12,2023-10-01,0,240,0.31
user_135,2023-01-18,2023-05-01,1,103,0.3
user_136,2023-01-30,2023-07-08,0,296,0.67
user_137,2023-01-18,2024-01-17,1,364,0.11
user_138,2023-01-25,2024-01-13,0,298,0.52
user_139,2023-01-28,2023-04-15,0,212,0.38
user_140,2023-01-26,2023-11-11,1,289,0.21
user_141,2023-01-05,2023-08-19,1,226,0.25
user_142,2023-01-30,2023-08-22,0,357,0.69
user_143,2023-01-25,2023-11-11,0,362,0.74
user_144,2023-01-18,2023-07-05,0,302,0.47
user_145,2023-01-31,2023-07-09,1,159,0.11
user_146,2023-01-31,2023-03-16,1,44,0.06
user_147,2023-01-03,2023-02-08,0,289,0.41
user_148,2023-01-18,2023-09-05,0,298,0.89
user_149,2023-01-23,2023-03-26,1,62,0.06
user_150,2023-01-14,2023-03-25,1,70,0.16
user_151,2023-01-02,2023-05-02,0,331,0.63
user_152,2023-01-11,2023-12-21,1,344,0.2
user_153,2023-01-31,2023-10-20,0,220,0.65
user_154,2023-01-22,2023-11-17,1,299,0.2
user_155,2023-01-18,2023-09-18,1,243,0.06
user_156,2023-01-27,2023-07-03,1,157,0.14
user_157,2023-01-04,2023-06-30,0,268,0.67
user_158,2023-01-16,2023-04-16,1,90,0.14
user_159,2023-01-23,2024-01-12,0,218,0.58
user_160,2023-01-24,2023-12-08,0,363,0.45
user_161,2023-01-26,2023-06-13,1,138,0.26
user_162,2023-01-02,2023-03-04,0,293,0.38
user_163,2023-01-11,2023-10-03,0,220,0.26
user_164,2023-01-25,2023-06-28,0,298,0.58
user_165,2023-01-16,2023-02-27,1,42,0.19
user_166,2023-01-07,2023-10-03,1,269,0.16
user_167,2023-01-21,2023-07-18,0,219,0.35
user_168,2023-01-21,2023-10-26,0,311,0.43
user_169,2023-01-15,2023-08-30,1,227,0.27
user_170,2023-01-31,2023-10-02,0,315,0.58
user_171,2023-01-07,2023-11-22,0,288,0.36
user_172,2023-01-31,2023-12-25,0,321,0.24
user_173,2023-01-10,2023-11-24,0,265,0.59
user_174,2023-01-03,2023-02-23,1,51,0.15
user_175,2023-01-02,2023-02-28,0,268,0.75
user_176,2023-01-09,2023-09-11,1,245,0.21
user_177,2023-01-10,2023-08-05,0,345,0.89
user_178,2023-01-06,2023-08-12,0,297,0.21
user_179,2023-01-24,2023-06-02,0,226,0.82
user_180,2023-01-20,2023-02-27,1,38,0.16
user_181,2023-01-15,2023-03-29,0,230,0.8
user_182,2023-01-23,2023-05-16,0,224,0.74
user_183,2023-01-08,2023-08-23,1,227,0.14
user_184,2023-01-02,2023-05-09,0,204,0.47
user_185,2023-01-12,2023-06-16,1,155,0.28
user_186,2023-01-10,2023-08-30,1,232,0.25
user_187,2023-01-24,2023-05-31,1,127,0.17
user_188,2023-01-19,2023-05-07,1,108,0.26
user_189,2023-01-13,2023-03-05,0,292,0.31
user_190,2023-01-07,2023-10-18,0,287,0.2
user_191,2023-01-22,2024-01-21,1,364,0.07
user_192,2023-01-10,2023-05-21,0,243,0.29
user_193,2023-01-12,2023-08-21,0,245,0.44
user_194,2023-01-05,2023-06-12,1,158,0.2
user_195,2023-01-03,2023-08-21,0,222,0.42
user_196,2023-01-21,2023-02-25,0,329,0.66
user_197,2023-01-26,2023-04-02,0,343,0.9
user_198,2023-01-25,2023-12-12,0,324,0.48
user_199,2023-01-04,2023-05-09,0,272,0.57
user_200,2023-01-31,2023-09-01,0,283,0.3
user_201,2023-01-20,2023-05-03,0,223,0.56
user_202,2023-01-27,2023-10-08,0,280,0.65
user_203,2023-01-21,2023-10-06,1,258,0.08
user_204,2023-01-05,2023-04-10,1,95,0.22
user_205,2023-01-30,2023-04-16,0,359,0.46
user_206,2023-01-09,2023-07-23,0,312,0.69
user_207,2023-01-08,2023-06-15,1,158,0.29
user_208,2023-01-21,2023-06-27,1,157,0.06
user_209,2023-01-30,2023-12-15,0,348,0.57
user_210,2023-01-10,2023-03-14,0,351,0.2
user_211,2023-01-16,2023-06-22,0,364,0.3
user_212,2023-01-16,2023-09-12,0,334,0.77
user_213,2023-01-13,2023-03-01,0,211,0.87
user_214,2023-01-22,2023-03-03,1,40,0.2
user_215,2023-01-09,2023-04-21,1,102,0.12
user_216,2023-01-06,2023-09-13,1,250,0.12
user_217,2023-01-11,2023-11-05,0,224,0.77
user_218,2023-01-13,2023-10-26,0,322,0.76
user_219,2023-01-09,2023-06-28,0,279,0.26
user_220,2023-01-11,2023-12-15,1,338,0.27
user_221,2023-01-29,2023-11-15,1,290,0.25
user_222,2023-01-03,2023-02-27,0,200,0.27
user_223,2023-01-01,2023-09-05,1,247,0.1
user_224,2023-01-06,2023-06-16,0,275,0.38
user_225,2023-01-21,2023-04-19,1,88,0.29
user_226,2023-01-28,2023-05-10,0,334,0.28
user_227,2023-01-17,2023-10-06,0,328,0.58
user_228,2023-01-06,2023-09-14,1,251,0.24
user_229,2023-01-09,2023-11-25,0,283,0.68
user_230,2023-01-11,2023-10-18,0,218,0.89
user_231,2023-01-08,2023-09-13,1,248,0.05
user_232,2023-01-13,2023-04-21,0,284,0.55
user_233,2023-01-14,2023-12-01,0,238,0.23
user_234,2023-01-10,2023-05-11,0,333,0.73
user_235,2023-01-05,2023-05-20,1,135,0.3
user_236,2023-01-10,2023-03-02,1,51,0.06
user_237,2023-01-07,2023-09-30,1,266,0.27
user_238,2023-01-01,2023-03-03,1,61,0.18
user_239,2023-01-27,2023-11-05,1,282,0.17
user_240,2023-01-09,2023-03-01,1,51,0.21
user_241,2023-01-01,2023-05-24,1,143,0.16
user_242,2023-01-11,2023-05-02,1,111,0.17
user_243,2023-01-13,2024-01-09,0,311,0.79
user_244,2023-01-11,2023-07-20,1,190,0.14
user_245,2023-01-16,2023-09-10,1,237,0.17
user_246,2023-01-13,2023-11-14,1,305,0.09
user_247,2023-01-27,2023-12-06,1,313,0.05
user_248,2023-01-07,2023-05-10,1,123,0.08
user_249,2023-01-04,2023-12-17,0,284,0.75
user_250,2023-01-15,2023-05-24,0,221,0.79
