session_id,user_id,start_time,end_time,session_duration,features_used,action_count
1001,104,2023-01-12 21:56:00,2023-01-12 22:22:33,1593,"reports, collaboration",5
1002,104,2023-01-02 19:49:00,2023-01-02 20:47:38,3518,"notifications, task_management",36
1003,101,2023-01-02 23:48:00,2023-01-02 23:54:11,371,"collaboration, task_management",31
1004,102,2023-01-10 01:01:00,2023-01-10 01:45:07,2647,"collaboration, task_management",18
1005,102,2023-01-20 08:56:00,2023-01-20 09:22:21,1581,"reports, notifications, settings",14
1006,104,2023-01-29 21:11:00,2023-01-29 22:09:38,3518,collaboration,29
1007,102,2023-01-22 13:25:00,2023-01-22 13:48:49,1429,"task_management, notifications, settings",36
1008,101,2023-01-30 02:07:00,2023-01-30 02:53:16,2776,"task_management, settings, collaboration",28
1009,101,2023-01-24 04:39:00,2023-01-24 05:37:36,3516,settings,19
1010,104,2023-01-30 22:03:00,2023-01-30 22:49:44,2804,settings,26
1011,104,2023-01-26 06:27:00,2023-01-26 06:44:03,1023,"collaboration, notifications, task_management",35
1012,103,2023-01-21 12:41:00,2023-01-21 13:15:59,2099,"notifications, collaboration",27
1013,102,2023-01-04 11:21:00,2023-01-04 12:11:36,3036,"reports, settings, collaboration",31
1014,104,2023-01-09 17:50:00,2023-01-09 18:37:06,2826,"notifications, task_management, reports",16
1015,102,2023-01-20 04:55:00,2023-01-20 05:22:13,1633,"task_management, collaboration",14
1016,103,2023-01-07 02:50:00,2023-01-07 03:35:01,2701,"notifications, collaboration, task_management",38
1017,102,2023-01-07 12:08:00,2023-01-07 12:52:07,2647,"settings, notifications",37
1018,104,2023-01-06 00:22:00,2023-01-06 00:53:15,1875,"reports, collaboration",48
1019,103,2023-01-30 15:34:00,2023-01-30 15:41:00,420,"collaboration, notifications, settings",19
1020,104,2023-01-04 23:47:00,2023-01-05 00:02:09,909,collaboration,39
1021,101,2023-01-08 21:04:00,2023-01-08 21:41:29,2249,settings,22
1022,103,2023-01-08 10:05:00,2023-01-08 11:01:20,3380,collaboration,40
1023,104,2023-01-05 20:18:00,2023-01-05 20:38:30,1230,"notifications, collaboration",30
1024,101,2023-01-23 19:45:00,2023-01-23 19:50:16,316,task_management,28
1025,103,2023-01-02 17:24:00,2023-01-02 18:01:49,2269,"task_management, reports",22
1026,103,2023-01-06 06:07:00,2023-01-06 06:55:54,2934,"task_management, notifications, reports",22
1027,103,2023-01-16 07:56:00,2023-01-16 08:28:52,1972,"reports, notifications",40
1028,101,2023-01-23 11:42:00,2023-01-23 12:31:58,2998,"collaboration, task_management",45
1029,102,2023-01-19 22:31:00,2023-01-19 23:03:18,1938,"settings, reports",30
1030,102,2023-01-19 18:55:00,2023-01-19 19:37:17,2537,"notifications, collaboration, reports",25
1031,101,2023-01-23 22:22:00,2023-01-23 23:07:10,2710,"notifications, task_management, reports",42
1032,101,2023-01-20 00:17:00,2023-01-20 00:46:17,1757,"reports, task_management, settings",50
1033,103,2023-01-12 20:21:00,2023-01-12 20:26:26,326,"collaboration, reports, notifications",23
1034,103,2023-01-05 23:59:00,2023-01-06 00:11:34,754,"reports, collaboration",46
